pred_logistic,label_logistic
0.7279099908526789,1
0.04640944370402691,0
0.001950726232635795,0
0.03164669016899906,0
0.026562107715986494,0
0.0005021417660335119,0
0.5161867033178238,0
0.1380259340002977,0
0.001708635056717915,0
0.10202381807673834,0
0.9886454214618239,1
0.7735205392016657,1
0.21433607915028824,0
0.00029653862384997716,0
0.08058570241839348,0
0.020413267928096904,0
0.001044940503545394,0
0.5504308008692887,1
0.001960467952735069,0
0.0022441798261853977,0
0.16081734424964578,0
0.16017056872120658,0
0.002222834306782636,0
0.0031014890259504733,0
0.07410074509513065,0
0.2444529546325309,0
0.42632153063251005,1
0.12552575351147688,0
0.9993318146388032,1
0.0005633774251425918,0
0.2206500557031857,0
0.0009160806831049412,0
0.90314406312351,0
0.2056458246915754,0
0.10988702480578498,0
0.0015990559290213775,0
0.2135162373128019,0
0.017003243777053933,0
0.04143428209594992,0
0.0605342721005756,0
0.011506035424230667,0
0.0018206475942138258,0
0.07264571920970446,0
0.0010426378571711456,0
0.13610725762878237,0
0.003116787868993705,0
0.16195973151438833,0
0.002400831830103817,0
0.002533321916582743,0
0.024729596485914114,0
0.0014903927321906572,0
0.0678686647615664,0
0.12761399326033754,0
0.7953903359761503,1
0.7703919197298077,1
0.15698541642502026,0
0.3763018022401526,0
0.004220801827042029,0
0.001321099893087115,0
0.009172203538967656,0
0.008337475045200039,0
0.006328968783540796,0
0.37762890049664743,0
0.012199682370518359,0
0.09430273527593991,0
0.00208882715848595,0
0.0020650255717019786,0
0.9776657616784395,1
0.3922233223320345,0
0.0015290134373293126,0
0.0254850423735674,0
0.277014384395928,0
0.012602704939462597,0
0.002953705053610809,0
0.0009725233547001484,1
0.3188373148325312,1
0.004692139419539727,0
0.23633784123044885,1
0.013714385987426643,0
0.26986964696912663,0
0.025307956543676794,0
0.3006492677338493,0
0.6010311754477877,1
0.221891999015852,0
0.41039375763355945,1
0.0017662557989137977,0
0.9933912124791425,1
0.03296731729898107,0
0.001836708534170914,0
0.03390987168906581,0
0.000444158960664345,0
0.461859293110123,1
0.00977636810484931,0
0.4918560400045574,0
0.000553807273654473,0
0.001339992837129782,0
0.3669173398870405,0
0.002901605279518138,0
0.18862804358902424,0
0.5551879947842956,0
0.003580121811713994,0
0.615450159639744,1
0.2113472102777527,0
0.9153247196830397,1
0.011427386229213708,0
0.14140514700848886,0
0.19187676496854758,1
0.003082094104820113,0
0.9703810265275244,1
0.060531946317030044,0
0.002167088189253333,0
0.02356062625888386,0
0.07971878955868925,0
0.001572545586356856,0
0.0832718150932761,0
0.020363179534891328,0
0.2798695365634464,0
0.01114102050480124,0
0.07645361922281466,0
0.0029672292986499317,0
0.0017030819573679737,0
0.9930269129992949,1
0.14315484808733786,0
0.002648198602494514,0
0.1905437477397391,0
0.9625168535831671,0
0.9514210864988522,1
0.3548689114818176,0
0.0434946703661754,0
0.9474487004079162,1
0.0004197899620775249,0
0.00030528322955021846,0
0.9757067963872599,1
0.15858014968913423,1
0.006670019165102065,0
0.16286172331432205,0
0.0012789744312721913,0
0.001314212968334616,0
